,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,gid,latitude,longitude,elevation,offshore,wrf_region,config,geometry
15,57,23,39630,60479,23.893234,78.52332,503,0,0,default,POINT (78.52332 23.893234)
79,84,48,43083,66484,24.1091,80.797714,377,0,0,default,POINT (80.797714 24.1091)
26,27,82,79962,635688,20.096748,78.16245,280,0,1,default,POINT (78.16245000000001 20.096748)
82,43,93,34706,52760,23.622887,69.396225,5,0,0,default,POINT (69.396225 23.622887)
39,74,25,63784,581376,18.367706,74.29304,672,0,1,default,POINT (74.29304 18.367706)
73,8,14,83209,644790,20.373894,78.9895,227,0,1,default,POINT (78.98950000000001 20.373894)
40,65,65,95280,675908,21.312431,71.63466,193,0,1,default,POINT (71.63466 21.312431)
49,3,7,93470,671592,21.174782,82.53400400000002,307,0,1,default,POINT (82.53400400000001 21.174782)
88,68,92,55067,128612,26.35333300000001,77.37136,160,0,0,default,POINT (77.37136 26.353333)
85,89,94,23070,35424,22.971794,82.629036,424,0,0,default,POINT (82.629036 22.971794)
77,49,42,100691,687347,21.642273,73.76136,426,0,1,default,POINT (73.76136 21.642273)
72,46,86,24909,38159,23.080536,75.864944,497,0,0,default,POINT (75.86494399999999 23.080536)
20,97,41,67888,597560,18.899498,73.79089,662,0,1,default,POINT (73.79089 18.899498)
52,52,63,59356,556197,17.46836,74.76563,707,0,1,default,POINT (74.76563 17.46836)
19,75,67,56964,530979,16.451271,74.05673,573,0,1,default,POINT (74.05673 16.451271)
42,99,9,44623,69460,24.216904,81.15216,355,0,0,default,POINT (81.15215999999999 24.216904)
75,39,10,42041,64715,24.055168,72.32044,145,0,0,default,POINT (72.32044 24.055168)
94,91,68,98685,682839,21.504929,81.1162,311,0,1,default,POINT (81.11620000000001 21.504929)
37,50,75,54867,125690,26.247406,78.61193,164,0,0,default,POINT (78.61193 26.247406)
14,33,96,73023,615141,19.457458,78.10338,370,0,1,default,POINT (78.10338 19.457458)
22,94,40,63305,578913,18.283585,75.97668,702,0,1,default,POINT (75.97668 18.283585)
60,62,39,19777,30717,22.808525,74.91975,483,0,0,default,POINT (74.91974999999999 22.808525)
13,18,20,62633,575621,18.171364,75.59269,496,0,1,default,POINT (75.59269 18.171364)
30,56,30,91942,668490,21.092133,73.46598,100,0,1,default,POINT (73.46598 21.092133)
63,81,12,53736,113820,25.822777,78.19841,222,0,0,default,POINT (78.19841 25.822777)
8,88,47,38997,59498,23.866226,71.43431,18,0,0,default,POINT (71.43431 23.866226)
76,16,56,28829,43934,23.29774500000001,71.3457,5,0,0,default,POINT (71.34569999999999 23.297745)
74,63,51,59474,556949,17.496536,75.14962,519,0,1,default,POINT (75.14962 17.496536)
53,92,73,64845,585705,18.507812,77.36494,418,0,1,default,POINT (77.36494 18.507812)
44,78,27,99826,685479,21.587349,74.91332,542,0,1,default,POINT (74.91332 21.587349)
9,40,87,67051,594326,18.787682,79.9347,104,0,1,default,POINT (79.93470000000001 18.787682)
45,36,52,17311,26930,22.672318,72.497665,18,0,0,default,POINT (72.497665 22.672318)
92,22,89,32947,50021,23.514595,76.04217,489,0,0,default,POINT (76.04217 23.514595)
96,5,50,63655,580588,18.339668,75.85852,588,0,1,default,POINT (75.85852 18.339668)
78,69,88,23314,35891,22.998993,74.53575,283,0,0,default,POINT (74.53574999999999 22.998993)
67,28,49,57925,543965,16.988754,75.41546,583,0,1,default,POINT (75.41546 16.988754)
17,67,58,49714,84173,24.754524,77.991646,430,0,0,default,POINT (77.991646 24.754524)
95,87,34,42806,66139,24.1091,70.60726,1,0,0,default,POINT (70.60726 24.1091)
46,15,0,79449,634014,20.04126,82.03187,580,0,1,default,POINT (82.03187 20.04126)
32,1,32,89547,662291,20.899094,81.559265,303,0,1,default,POINT (81.559265 20.899094)
57,55,2,21327,33000,22.89019,76.69199,520,0,0,default,POINT (76.69199 22.89019)
41,37,22,61707,570761,18.0029,75.14962,508,0,1,default,POINT (75.14962 18.0029)
2,60,72,72800,614353,19.429611,80.879906,387,0,1,default,POINT (80.87990600000001 19.429611)
21,42,21,36337,55238,23.704048,76.92829,436,0,0,default,POINT (76.92829 23.704048)
71,64,80,18172,28059,22.69957,83.95823,422,0,0,default,POINT (83.95823 22.69957)
43,24,66,82162,641986,20.290802,76.80373,495,0,1,default,POINT (76.80373 20.290802)
66,93,97,4932,7804,21.961876,76.63292,251,0,0,default,POINT (76.63292 21.961876)
6,11,54,11902,18359,22.344872,81.97921,335,0,0,default,POINT (81.97920999999999 22.344872)
64,32,91,78688,632095,19.985756,78.54644,238,0,1,default,POINT (78.54644 19.985756)
28,12,1,77759,629442,19.902458,79.84609,183,0,1,default,POINT (79.84609 19.902458)
1,79,70,53127,107898,25.609879,78.37563,270,0,0,default,POINT (78.37563 25.609879)
23,10,3,84198,647543,20.45694,79.49164,231,0,1,default,POINT (79.49164 20.45694)
31,48,76,54014,116763,25.929085,77.57812,419,0,0,default,POINT (77.57812 25.929085)
58,61,31,15762,24292,22.563255,82.1269,370,0,0,default,POINT (82.12690000000001 22.563255)
7,72,95,99629,684782,21.559883,82.41585500000002,269,0,1,default,POINT (82.41585500000001 21.559883)
69,80,36,66045,590751,18.675789,75.53361,674,0,1,default,POINT (75.53361 18.675789)
35,98,45,95516,676160,21.312431,79.07812,300,0,1,default,POINT (79.07812 21.312431)
90,54,11,18811,29233,22.754059,74.860664,521,0,0,default,POINT (74.860664 22.754059)
47,31,28,67455,595895,18.843597,75.504074,777,0,1,default,POINT (75.504074 18.843597)
65,14,18,25839,39535,23.134872,72.73396,67,0,0,default,POINT (72.73396 23.134872)
99,58,33,52448,100499,25.343231,78.70055,231,0,0,default,POINT (78.70055000000001 25.343231)
84,86,4,32679,49501,23.48751,82.56996,784,0,0,default,POINT (82.56995999999999 23.48751)
89,19,16,85550,651265,20.567604,81.44112,347,0,1,default,POINT (81.44112 20.567604)
56,45,77,78051,630306,19.93023,78.84181,243,0,1,default,POINT (78.84181 19.93023)
93,71,44,82036,641853,20.290802,72.87524,38,0,1,default,POINT (72.87524000000001 20.290802)
34,26,71,13110,20320,22.426804,74.24038,242,0,0,default,POINT (74.24038 22.426804)
83,21,55,51223,90880,24.995697,79.114075,239,0,0,default,POINT (79.114075 24.995697)
27,13,5,100034,685687,21.587349,81.05713,334,0,1,default,POINT (81.05713 21.587349)
59,23,15,61202,568326,17.918602,73.3183,134,0,1,default,POINT (73.31829999999999 17.918602)
11,41,6,73887,617903,19.540993,81.35251,500,0,1,default,POINT (81.35251 19.540993)
33,44,37,11260,17467,22.317543,77.51904,385,0,0,default,POINT (77.51904 22.317543)
36,77,61,22634,34985,22.971794,69.66206,54,0,0,default,POINT (69.66206 22.971794)
86,51,57,26634,40573,23.162025,81.506615,512,0,0,default,POINT (81.506615 23.162025)
48,20,64,65014,586523,18.53582,76.47881,612,0,1,default,POINT (76.47881 18.53582)
25,29,98,80662,637559,20.152214,79.99378,209,0,1,default,POINT (79.99378 20.152214)
16,70,17,61042,567028,17.862389,81.1162,148,0,1,default,POINT (81.11620000000001 17.862389)
70,35,35,52560,101946,25.396599,77.66673,461,0,0,default,POINT (77.66673 25.396599)
51,96,83,36116,54969,23.704048,68.9827,108,0,0,default,POINT (68.98269999999999 23.704048)
98,0,78,66490,592455,18.73175,75.32685,595,0,1,default,POINT (75.32684999999999 18.73175)
54,47,90,22314,34446,22.944595,75.62865,513,0,0,default,POINT (75.62864999999999 22.944595)
38,73,69,100789,687445,21.642273,76.65604,362,0,1,default,POINT (76.65604 21.642273)
55,83,85,96954,679108,21.394966,82.681694,300,0,1,default,POINT (82.68169399999999 21.394966)
61,17,81,19191,29874,22.781303,71.90691,20,0,0,default,POINT (71.90691 22.781303)
80,38,19,90887,665828,21.00943,77.01049,275,0,1,default,POINT (77.01049 21.00943)
81,95,43,20262,31452,22.835747,74.74251600000002,433,0,0,default,POINT (74.74251600000001 22.835747)
0,59,59,100835,687491,21.642273,78.01476,651,0,1,default,POINT (78.01476 21.642273)
97,66,24,48472,79719,24.593475,77.75535,495,0,0,default,POINT (77.75535000000001 24.593475)
18,2,53,56630,524360,16.167786,74.2635,651,0,1,default,POINT (74.26349999999999 16.167786)
50,25,99,45255,70902,24.27076700000001,79.97066,310,0,0,default,POINT (79.97066 24.270767)
68,9,62,82359,642765,20.318504,72.963844,34,0,1,default,POINT (72.96384399999999 20.318504)
91,6,84,8149,12836,22.153503,72.0546,8,0,0,default,POINT (72.05459999999999 22.153503)
24,82,8,23744,36546,23.026176,71.99553,21,0,0,default,POINT (71.99553 23.026176)
3,53,29,12730,19685,22.399498,77.37136,323,0,0,default,POINT (77.37136 22.399498)
87,85,26,29088,44210,23.29774500000001,79.49806,522,0,0,default,POINT (79.49806 23.297745)
29,76,13,46946,75316,24.432228,79.02546,356,0,0,default,POINT (79.02546 24.432228)
10,30,38,75646,623241,19.707924,81.559265,592,0,1,default,POINT (81.559265 19.707924)
5,7,46,24228,37255,23.053352,71.05032,33,0,0,default,POINT (71.05032 23.053352)
12,4,79,49589,83497,24.727692,79.91158,232,0,0,default,POINT (79.91158 24.727692)
4,90,74,101424,688579,21.669724,81.94325,261,0,1,default,POINT (81.94325000000001 21.669724)
62,34,60,90511,664912,20.98185,77.24679,284,0,1,default,POINT (77.24679 20.98185)
